epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9586,2.55059,5.84934,2.47601,0.64912,0.03125,0.05455,0.01786,2.20489,3.56857,2.36306,0.000236592,0.000236592,0.000236592
2,39.7731,2.23423,4.66761,2.11833,0.74104,0.12282,0.12103,0.04814,2.14826,3.07699,2.16336,0.000469846,0.000469846,0.000469846
3,57.5006,2.16963,4.03536,2.09466,0.72123,0.12652,0.15967,0.07205,2.13403,2.83893,2.19188,0.000698341,0.000698341,0.000698341
4,72.1706,2.0992,3.63792,2.03961,0.53247,0.20872,0.18719,0.08056,2.07543,2.54586,2.14053,0.000692582,0.000692582,0.000692582
5,89.5879,2.0461,3.22108,2.01591,0.53207,0.2339,0.22169,0.11432,1.99216,2.55881,2.06305,0.000685443,0.000685443,0.000685443
6,107.025,2.00522,2.99824,1.96034,0.24179,0.29433,0.284,0.1211,1.93756,2.2546,2.0486,0.000678304,0.000678304,0.000678304
7,118.778,1.96843,2.72961,1.96251,0.40373,0.38311,0.37249,0.16182,1.95641,2.20921,2.0314,0.000671164,0.000671164,0.000671164
8,132.989,1.93369,2.47423,1.9033,0.51541,0.32291,0.33836,0.1714,1.99731,1.98262,2.02018,0.000664025,0.000664025,0.000664025
9,150.397,1.87401,2.37796,1.86944,0.56202,0.43593,0.49689,0.21501,2.01534,1.90527,2.0285,0.000656886,0.000656886,0.000656886
10,165.092,1.84101,2.26188,1.82293,0.4901,0.51593,0.52484,0.22873,2.01636,1.8987,2.08179,0.000649746,0.000649746,0.000649746
11,179.719,1.82162,2.14667,1.82982,0.66702,0.46567,0.49598,0.21639,1.99381,1.76199,2.00736,0.000642607,0.000642607,0.000642607
12,197.324,1.81224,2.03385,1.81284,0.67674,0.50385,0.53566,0.23794,1.8786,1.75613,1.93944,0.000635468,0.000635468,0.000635468
13,214.806,1.80185,1.99019,1.80948,0.61258,0.53119,0.54687,0.29671,1.91439,1.91294,1.98019,0.000628329,0.000628329,0.000628329
14,227.818,1.75138,1.9249,1.77416,0.77104,0.54046,0.63241,0.31503,1.8284,1.71292,1.86428,0.000621189,0.000621189,0.000621189
15,240.833,1.73994,1.86629,1.73945,0.79584,0.57999,0.69318,0.33252,1.85111,1.57441,1.87717,0.00061405,0.00061405,0.00061405
